# Pathway Pack, 11x11 hard, 1
BOARD 11 11
START 8 2 9 3
START 1 4 4 5
START 2 2 6 5
START 3 8 4 6
START 1 6 8 9
START 2 10 11 11
START 8 3 10 2
START 7 1 11 5
START 1 5 10 11
CROSS 10 8
CROSS 9 10
STRIP 9 7 9 8
STRIP 9 7 8 7
STRIP 8 6 8 7
STRIP 7 6 7 7
STRIP 6 7 7 7
STRIP 6 8 7 8
STRIP 6 8 6 9
STRIP 5 9 6 9
STRIP 5 10 6 10
STRIP 6 10 6 11
STRIP 7 10 7 11
STRIP 8 10 8 11
STRIP 9 8 9 9
STRIP 8 8 8 9
STRIP 7 8 8 8
STRIP 7 9 8 9
STRIP 7 9 7 10
STRIP 8 9 8 10
TRACK 9 8 9 7 9 8 9 8 9 9  8 8 8 8 8 9 7 8 8 8  8 7 8 6 8 7 9 7 8 7  7 7 6 7 7 7 7 6 7 7  7 8 6 8 7 8 7 8 8 8  7 9 8 9 7 9 7 9 7 10  6 9 6 8 6 9 5 9 6 9  6 10 5 10 6 10 6 10 6 11  7 10 7 9 7 10 7 10 7 11  8 10 8 9 8 10 8 10 8 11
